target,source,total_gdppct,net_gdppct,total_mdollars,net_mdollars
Tonga,WORLD,0.3411,0.3343,145.89,142.98
Tonga,United States,0.1339,0.1339,57.28,57.28
Tonga,New Zealand,0.1295,0.1295,55.40,55.40
Tonga,Australia,0.0647,0.0647,27.65,27.65
Tonga,American Samoa,0.0086,0.0086,3.69,3.69
Tonga,Chile,0.0018,0.0018,0.75,0.75
Tonga,Canada,0.0005,0.0005,0.23,0.23
Tonga,France,0.0005,0.0005,0.21,0.21
Tonga,Samoa,0.0004,-0.0003,0.16,-0.14
Tonga,Sweden,0.0002,0.0002,0.09,0.09
Tonga,Italy,0.0002,0.0002,0.06,0.06
Tonga,Switzerland,0.0001,0.0001,0.05,0.05
Tonga,Vanuatu,0.0001,0.0001,0.05,0.05
Tonga,Denmark,0.0001,0.0001,0.05,0.05
Tonga,Dominican Republic,0.0001,0.0001,0.04,0.04
Tonga,Ireland,0.0001,0.0001,0.04,0.04
Tonga,Netherlands,0.0001,0.0001,0.02,0.02
Tonga,Austria,0.0000,0.0000,0.02,0.02
Tonga,Norway,0.0000,0.0000,0.02,0.02
Tonga,Czech Republic,0.0000,0.0000,0.01,0.01
Tonga,Russian Federation,0.0000,0.0000,0.01,0.01
Tonga,Kenya,0.0000,0.0000,0.01,0.01
Tonga,Argentina,0.0000,0.0000,0.01,0.01
Tonga,Bermuda,0.0000,0.0000,0.01,0.01
Tonga,Panama,0.0000,0.0000,0.00,0.00
Tonga,Bulgaria,0.0000,0.0000,0.00,0.00
Tonga,Costa Rica,0.0000,0.0000,0.00,0.00
Tonga,Iceland,0.0000,0.0000,0.00,0.00
Tonga,Finland,0.0000,0.0000,0.00,0.00
Tonga,Aruba,0.0000,0.0000,0.00,0.00
Tonga,Estonia,0.0000,0.0000,0.00,0.00
Tonga,Peru,0.0000,0.0000,0.00,0.00
Kyrgyz Republic,WORLD,0.3287,0.3035,2486.32,2296.09
Kyrgyz Republic,Russian Federation,0.2517,0.2399,1904.33,1814.87
Kyrgyz Republic,Germany,0.0373,0.0362,282.22,274.05
Kyrgyz Republic,Ukraine,0.0098,0.0051,74.12,38.87
Kyrgyz Republic,Uzbekistan,0.0049,0.0049,37.14,37.14
Kyrgyz Republic,Tajikistan,0.0033,0.0025,25.10,18.85
Kyrgyz Republic,Kazakhstan,0.0027,0.0026,20.66,19.36
Kyrgyz Republic,Belarus,0.0022,0.0011,16.27,8.42
Kyrgyz Republic,United States,0.0021,0.0021,15.67,15.67
Kyrgyz Republic,Turkey,0.0018,0.0017,13.54,13.18
Kyrgyz Republic,Israel,0.0013,0.0013,10.01,10.01
Kyrgyz Republic,Azerbaijan,0.0013,0.0008,9.86,5.77
Kyrgyz Republic,Belgium,0.0011,0.0011,8.14,8.14
Kyrgyz Republic,"Korea, Rep.",0.0010,0.0010,7.85,7.24
Kyrgyz Republic,Turkmenistan,0.0009,0.0009,6.89,6.89
Kyrgyz Republic,Moldova,0.0009,0.0003,6.49,2.11
Kyrgyz Republic,Canada,0.0008,0.0008,6.05,6.05
Kyrgyz Republic,Georgia,0.0007,-0.0003,5.23,-2.54
Kyrgyz Republic,Czech Republic,0.0006,0.0006,4.76,4.76
Kyrgyz Republic,Italy,0.0005,0.0005,4.04,4.04
Kyrgyz Republic,Sweden,0.0005,0.0005,3.81,3.81
Kyrgyz Republic,Latvia,0.0005,0.0000,3.43,0.35
Kyrgyz Republic,China,0.0004,0.0002,2.98,1.25
Kyrgyz Republic,Austria,0.0004,0.0004,2.75,2.75
Kyrgyz Republic,France,0.0003,0.0003,2.51,2.51
Kyrgyz Republic,Switzerland,0.0003,0.0003,2.37,2.37
Kyrgyz Republic,Lithuania,0.0003,-0.0005,2.19,-4.10
Kyrgyz Republic,Estonia,0.0003,0.0000,1.92,0.12
Kyrgyz Republic,Australia,0.0002,0.0002,1.49,1.49
Kyrgyz Republic,Norway,0.0001,0.0001,0.91,0.91
Kyrgyz Republic,Greece,0.0001,0.0001,0.54,0.54
Kyrgyz Republic,Hungary,0.0001,0.0001,0.49,0.49
Kyrgyz Republic,Poland,0.0001,-0.0007,0.47,-5.43
Kyrgyz Republic,Ireland,0.0001,0.0001,0.40,0.40
Kyrgyz Republic,Bulgaria,0.0000,0.0000,0.29,0.29
Kyrgyz Republic,Netherlands,0.0000,0.0000,0.25,0.25
Kyrgyz Republic,"Egypt, Arab Rep.",0.0000,0.0000,0.25,0.25
Kyrgyz Republic,Denmark,0.0000,0.0000,0.21,0.21
Kyrgyz Republic,Finland,0.0000,0.0000,0.17,-0.17
Kyrgyz Republic,Kenya,0.0000,0.0000,0.11,0.11
Kyrgyz Republic,Cyprus,0.0000,0.0000,0.10,0.10
Kyrgyz Republic,Slovak Republic,0.0000,0.0000,0.07,0.07
Kyrgyz Republic,South Africa,0.0000,0.0000,0.05,0.05
Kyrgyz Republic,Argentina,0.0000,0.0000,0.03,0.03
Kyrgyz Republic,Cuba,0.0000,0.0000,0.02,0.02
Kyrgyz Republic,Mexico,0.0000,0.0000,0.02,0.02
Kyrgyz Republic,Jordan,0.0000,0.0000,0.02,0.02
Kyrgyz Republic,Chile,0.0000,0.0000,0.02,0.02
Kyrgyz Republic,Luxembourg,0.0000,0.0000,0.02,0.02
Kyrgyz Republic,Malta,0.0000,0.0000,0.02,0.02
Kyrgyz Republic,Slovenia,0.0000,0.0000,0.01,0.01
Kyrgyz Republic,Costa Rica,0.0000,0.0000,0.01,0.01
Kyrgyz Republic,Bolivia,0.0000,0.0000,0.01,0.01
Kyrgyz Republic,San Marino,0.0000,0.0000,0.01,0.01
Kyrgyz Republic,Iceland,0.0000,0.0000,0.00,0.00
Kyrgyz Republic,Uruguay,0.0000,0.0000,0.00,0.00
Kyrgyz Republic,Colombia,0.0000,0.0000,0.00,0.00
Tajikistan,WORLD,0.3106,0.2813,2219.70,2010.06
Tajikistan,Russian Federation,0.2360,0.2116,1686.57,1512.32
Tajikistan,Kazakhstan,0.0197,0.0197,141.07,141.00
Tajikistan,Ukraine,0.0128,0.0126,91.77,90.36
Tajikistan,Germany,0.0110,0.0110,78.92,78.38
Tajikistan,Afghanistan,0.0088,0.0088,62.92,62.54
Tajikistan,Uzbekistan,0.0062,0.0062,44.66,44.66
Tajikistan,Belarus,0.0028,0.0027,19.85,19.44
Tajikistan,United States,0.0027,0.0027,19.65,19.16
Tajikistan,Azerbaijan,0.0017,0.0016,11.82,11.71
Tajikistan,Israel,0.0012,0.0012,8.39,8.39
Tajikistan,Turkmenistan,0.0012,0.0012,8.26,8.26
Tajikistan,Moldova,0.0010,0.0009,7.45,6.31
Tajikistan,Georgia,0.0009,0.0007,6.29,5.09
Tajikistan,Kyrgyz Republic,0.0009,-0.0026,6.25,-18.85
Tajikistan,Canada,0.0004,0.0004,3.10,3.10
Tajikistan,Latvia,0.0004,0.0004,2.63,2.63
Tajikistan,Libya,0.0003,0.0003,2.27,2.27
Tajikistan,Lithuania,0.0003,0.0003,2.16,2.16
Tajikistan,China,0.0003,0.0003,1.86,1.86
Tajikistan,Turkey,0.0002,0.0002,1.50,1.30
Tajikistan,Estonia,0.0002,0.0002,1.47,1.47
Tajikistan,Sweden,0.0002,0.0002,1.36,1.36
Tajikistan,Austria,0.0002,0.0002,1.35,1.35
Tajikistan,Czech Republic,0.0002,0.0002,1.28,1.28
Tajikistan,France,0.0001,0.0001,1.01,1.01
Tajikistan,"Egypt, Arab Rep.",0.0001,0.0001,0.89,0.89
Tajikistan,Switzerland,0.0001,0.0001,0.87,0.87
Tajikistan,Italy,0.0001,0.0001,0.81,0.81
Tajikistan,Norway,0.0001,0.0001,0.57,0.57
Tajikistan,Algeria,0.0001,0.0001,0.51,0.39
Tajikistan,Bulgaria,0.0001,0.0001,0.45,0.45
Tajikistan,Australia,0.0000,0.0000,0.35,0.35
Tajikistan,Poland,0.0000,0.0000,0.25,0.25
Tajikistan,Ireland,0.0000,0.0000,0.24,0.24
Tajikistan,Netherlands,0.0000,0.0000,0.20,0.20
Tajikistan,Finland,0.0000,0.0000,0.20,0.20
Tajikistan,Denmark,0.0000,-0.0001,0.13,-0.52
Tajikistan,Portugal,0.0000,0.0000,0.09,0.09
Tajikistan,Hungary,0.0000,0.0000,0.07,0.07
Tajikistan,Cyprus,0.0000,0.0000,0.05,0.05
Tajikistan,Kenya,0.0000,0.0000,0.04,0.04
Tajikistan,Jordan,0.0000,0.0000,0.03,0.03
Tajikistan,Slovak Republic,0.0000,0.0000,0.02,0.02
Tajikistan,Brazil,0.0000,0.0000,0.02,0.02
Tajikistan,Costa Rica,0.0000,0.0000,0.02,0.02
Tajikistan,Chile,0.0000,0.0000,0.01,0.01
Tajikistan,Iceland,0.0000,0.0000,0.01,0.01
Tajikistan,Peru,0.0000,0.0000,0.01,0.01
Tajikistan,Slovenia,0.0000,0.0000,0.01,0.01
Tajikistan,Romania,0.0000,0.0000,0.01,0.01
Tajikistan,Colombia,0.0000,0.0000,0.00,0.00
Tajikistan,Bolivia,0.0000,0.0000,0.00,0.00
Haiti,WORLD,0.2925,0.2810,2459.04,2363.06
Haiti,United States,0.1777,0.1769,1493.92,1487.22
Haiti,Dominican Republic,0.0673,0.0651,565.73,547.32
Haiti,France,0.0177,0.0164,148.91,137.55
Haiti,Canada,0.0171,0.0170,143.89,142.66
Haiti,"Bahamas, The",0.0070,0.0070,58.45,58.45
Haiti,Turks and Caicos Islands,0.0014,0.0014,11.94,11.94
Haiti,Sint Maarten (Dutch part),0.0005,0.0005,4.43,4.43
Haiti,Switzerland,0.0005,0.0002,4.30,1.42
Haiti,Bermuda,0.0005,0.0005,4.03,4.03
Haiti,Curacao,0.0004,0.0004,3.11,3.11
Haiti,Netherlands,0.0004,0.0004,2.96,2.96
Haiti,Aruba,0.0003,0.0003,2.57,2.57
Haiti,"Venezuela, RB",0.0002,0.0000,2.04,0.00
Haiti,Virgin Islands (U.S.),0.0002,0.0002,1.58,1.58
Haiti,Mexico,0.0002,0.0000,1.43,0.22
Haiti,Cuba,0.0002,0.0002,1.31,1.31
Haiti,Italy,0.0002,-0.0008,1.27,-6.32
Haiti,Germany,0.0001,-0.0007,1.19,-6.03
Haiti,Suriname,0.0001,0.0001,1.11,1.11
Haiti,Belgium,0.0001,0.0001,1.05,1.05
Haiti,Panama,0.0001,0.0001,0.66,0.66
Haiti,Argentina,0.0001,0.0000,0.42,-0.18
Haiti,Costa Rica,0.0000,-0.0002,0.37,-1.68
Haiti,Denmark,0.0000,0.0000,0.32,0.32
Haiti,Sweden,0.0000,0.0000,0.31,0.31
Haiti,Australia,0.0000,0.0000,0.21,0.21
Haiti,Puerto Rico,0.0000,0.0000,0.19,0.19
Haiti,Ecuador,0.0000,0.0000,0.16,0.16
Haiti,Colombia,0.0000,-0.0004,0.14,-3.18
Haiti,Austria,0.0000,-0.0002,0.13,-1.74
Haiti,Norway,0.0000,0.0000,0.10,0.10
Haiti,Chile,0.0000,0.0000,0.08,-0.02
Haiti,Peru,0.0000,-0.0001,0.07,-1.20
Haiti,Brazil,0.0000,0.0000,0.07,0.07
Haiti,Belize,0.0000,0.0000,0.06,0.06
Haiti,Cayman Islands,0.0000,0.0000,0.06,0.06
Haiti,Antigua and Barbuda,0.0000,0.0000,0.05,0.05
Haiti,Dominica,0.0000,0.0000,0.04,0.04
Haiti,St. Kitts and Nevis,0.0000,0.0000,0.04,0.04
Haiti,Slovenia,0.0000,0.0000,0.03,0.03
Haiti,Russian Federation,0.0000,0.0000,0.03,0.03
Haiti,Ireland,0.0000,0.0000,0.03,0.03
Haiti,Monaco,0.0000,0.0000,0.03,0.03
Haiti,Honduras,0.0000,0.0000,0.03,0.03
Haiti,Finland,0.0000,0.0000,0.03,0.03
Haiti,Iceland,0.0000,0.0000,0.02,0.02
Haiti,Nicaragua,0.0000,0.0000,0.02,0.02
Haiti,Guatemala,0.0000,0.0000,0.01,0.01
Haiti,Bolivia,0.0000,0.0000,0.01,0.01
Haiti,Greece,0.0000,0.0000,0.01,0.01
Haiti,Uruguay,0.0000,0.0000,0.01,-0.15
Haiti,Cyprus,0.0000,0.0000,0.01,0.01
Haiti,Luxembourg,0.0000,0.0000,0.01,0.01
Haiti,Bulgaria,0.0000,0.0000,0.01,0.01
Haiti,Portugal,0.0000,0.0000,0.01,0.01
Haiti,Kenya,0.0000,0.0000,0.01,0.01
Haiti,El Salvador,0.0000,0.0000,0.00,0.00
Haiti,Malta,0.0000,0.0000,0.00,0.00
Haiti,Mauritania,0.0000,0.0000,0.00,0.00
Haiti,Czech Republic,0.0000,0.0000,0.00,0.00
Haiti,Romania,0.0000,0.0000,0.00,0.00
Haiti,Jordan,0.0000,0.0000,0.00,0.00
Haiti,Ukraine,0.0000,0.0000,0.00,0.00
Haiti,Seychelles,0.0000,0.0000,0.00,0.00
Haiti,Paraguay,0.0000,0.0000,0.00,0.00
Nepal,WORLD,0.2792,0.1496,6946.53,3720.87
Nepal,Qatar,0.0791,0.0791,1967.87,1967.87
Nepal,Saudi Arabia,0.0740,0.0740,1841.34,1841.34
Nepal,India,0.0410,-0.0802,1020.95,-1994.96
Nepal,United Arab Emirates,0.0336,0.0336,836.02,836.02
Nepal,United States,0.0133,0.0133,330.48,330.48
Nepal,Kuwait,0.0099,0.0099,245.58,245.58
Nepal,Malaysia,0.0076,0.0076,190.05,190.05
Nepal,United Kingdom,0.0058,0.0058,143.35,143.35
Nepal,Australia,0.0043,0.0043,107.10,107.10
Nepal,Bangladesh,0.0026,0.0025,64.04,63.16
Nepal,"Hong Kong SAR, China",0.0014,0.0014,35.28,35.28
Nepal,"Korea, Rep.",0.0014,0.0014,34.97,34.97
Nepal,Thailand,0.0008,0.0008,19.90,19.90
Nepal,Canada,0.0006,0.0006,13.68,13.68
Nepal,Germany,0.0005,0.0005,11.93,11.93
Nepal,Spain,0.0004,0.0004,9.43,9.43
Nepal,Denmark,0.0003,0.0003,7.05,7.05
Nepal,Belgium,0.0003,0.0003,6.60,6.60
Nepal,Norway,0.0002,0.0002,5.55,5.55
Nepal,Netherlands,0.0002,0.0002,5.49,5.49
Nepal,China,0.0002,-0.0054,5.48,-133.19
Nepal,Finland,0.0002,0.0002,5.25,5.25
Nepal,Italy,0.0002,0.0002,4.77,4.77
Nepal,New Zealand,0.0002,0.0002,4.39,4.39
Nepal,France,0.0002,0.0002,4.32,4.32
Nepal,Switzerland,0.0001,0.0001,3.68,3.68
Nepal,Vietnam,0.0001,0.0001,3.46,3.46
Nepal,Sweden,0.0001,0.0001,2.94,2.94
Nepal,Bahrain,0.0001,0.0001,2.26,2.26
Nepal,Austria,0.0001,0.0001,2.01,2.01
Nepal,Ireland,0.0001,0.0001,1.89,1.89
Nepal,Portugal,0.0001,0.0001,1.56,1.56
Nepal,Bhutan,0.0001,-0.0013,1.49,-33.26
Nepal,Brunei Darussalam,0.0001,0.0001,1.25,1.25
Nepal,Czech Republic,0.0000,0.0000,0.90,0.90
Nepal,Russian Federation,0.0000,0.0000,0.44,0.44
Nepal,Seychelles,0.0000,0.0000,0.43,0.43
Nepal,Iceland,0.0000,0.0000,0.38,0.38
Nepal,Northern Mariana Islands,0.0000,0.0000,0.35,0.35
Nepal,Jordan,0.0000,0.0000,0.31,0.31
Nepal,Costa Rica,0.0000,0.0000,0.27,0.27
Nepal,South Africa,0.0000,0.0000,0.26,0.26
Nepal,Cyprus,0.0000,0.0000,0.19,0.19
Nepal,Hungary,0.0000,0.0000,0.16,0.16
Nepal,Poland,0.0000,0.0000,0.16,0.16
Nepal,Luxembourg,0.0000,0.0000,0.14,0.14
Nepal,Philippines,0.0000,0.0000,0.14,0.14
Nepal,Greece,0.0000,0.0000,0.14,0.14
Nepal,Bermuda,0.0000,0.0000,0.13,0.13
Nepal,Brazil,0.0000,0.0000,0.11,0.11
Nepal,Ukraine,0.0000,0.0000,0.09,0.09
Nepal,Kenya,0.0000,0.0000,0.08,0.08
Nepal,Cambodia,0.0000,0.0000,0.08,0.08
Nepal,Slovenia,0.0000,0.0000,0.06,0.06
Nepal,Estonia,0.0000,0.0000,0.05,0.05
Nepal,Turkey,0.0000,0.0000,0.04,0.04
Nepal,Latvia,0.0000,0.0000,0.04,0.04
Nepal,Chile,0.0000,0.0000,0.03,0.03
Nepal,Mexico,0.0000,0.0000,0.03,0.03
Nepal,Slovak Republic,0.0000,0.0000,0.02,0.02
Nepal,"Egypt, Arab Rep.",0.0000,0.0000,0.01,0.01
Nepal,Bulgaria,0.0000,0.0000,0.01,0.01
Nepal,Ecuador,0.0000,0.0000,0.01,0.01
Nepal,Malta,0.0000,0.0000,0.01,0.01
Nepal,Aruba,0.0000,0.0000,0.01,0.01
Nepal,Nicaragua,0.0000,0.0000,0.01,0.01
Nepal,Panama,0.0000,0.0000,0.01,0.01
Nepal,Argentina,0.0000,0.0000,0.00,0.00
Nepal,Uruguay,0.0000,0.0000,0.00,0.00
Nepal,Peru,0.0000,0.0000,0.00,0.00
Nepal,Bolivia,0.0000,0.0000,0.00,0.00
Nepal,Vanuatu,0.0000,0.0000,0.00,0.00
Bermuda,WORLD,0.2652,0.2570,1478.15,1432.25
Bermuda,United States,0.1916,0.1903,1067.77,1060.50
Bermuda,Canada,0.0511,0.0507,284.86,282.57
Bermuda,Australia,0.0111,0.0110,61.99,61.57
Bermuda,Ireland,0.0026,0.0025,14.31,14.10
Bermuda,France,0.0019,0.0016,10.41,9.02
Bermuda,South Africa,0.0012,0.0012,6.74,6.48
Bermuda,Cayman Islands,0.0010,0.0010,5.32,5.32
Bermuda,Netherlands,0.0006,0.0006,3.55,3.48
Bermuda,"Bahamas, The",0.0005,0.0005,2.96,2.96
Bermuda,Austria,0.0004,0.0004,2.25,2.03
Bermuda,Sweden,0.0003,0.0002,1.66,1.33
Bermuda,Panama,0.0003,0.0003,1.54,1.48
Bermuda,Dominican Republic,0.0003,0.0002,1.42,0.94
Bermuda,Antigua and Barbuda,0.0003,0.0003,1.42,1.40
Bermuda,Turkey,0.0002,0.0002,1.30,1.30
Bermuda,Norway,0.0002,0.0002,1.30,1.26
Bermuda,Ecuador,0.0002,0.0002,1.30,1.11
Bermuda,St. Kitts and Nevis,0.0002,0.0002,0.95,0.91
Bermuda,Colombia,0.0002,0.0002,0.95,0.89
Bermuda,St. Lucia,0.0001,0.0001,0.83,0.78
Bermuda,Mexico,0.0001,0.0001,0.83,0.72
Bermuda,Czech Republic,0.0001,0.0001,0.71,0.62
Bermuda,Chile,0.0001,0.0001,0.71,0.71
Bermuda,Russian Federation,0.0001,0.0001,0.59,0.57
Bermuda,Costa Rica,0.0001,0.0001,0.59,0.54
Bermuda,Iceland,0.0001,0.0001,0.35,0.35
Bermuda,Greece,0.0001,0.0001,0.35,0.35
Bermuda,Hungary,0.0000,0.0000,0.24,0.12
Bermuda,Finland,0.0000,0.0000,0.24,0.22
Bermuda,Cuba,0.0000,0.0000,0.24,0.24
Bermuda,Uruguay,0.0000,0.0000,0.12,0.12
Bermuda,Dominica,0.0000,0.0000,0.12,0.09
Bermuda,Bulgaria,0.0000,0.0000,0.12,0.10
Bermuda,Aruba,0.0000,0.0000,0.12,0.12
Bermuda,Afghanistan,0.0000,0.0000,0.00,0.00
New Caledonia,WORLD,0.2392,0.0281,641.72,75.31
New Caledonia,French Polynesia,0.1186,0.0970,318.17,260.14
New Caledonia,Australia,0.0637,0.0632,170.84,169.46
New Caledonia,United States,0.0189,0.0189,50.63,50.63
New Caledonia,Vanuatu,0.0127,0.0083,34.13,22.25
New Caledonia,Argentina,0.0119,0.0119,31.82,31.82
New Caledonia,Canada,0.0066,0.0066,17.68,17.68
New Caledonia,Ukraine,0.0031,0.0031,8.29,8.29
New Caledonia,Colombia,0.0010,0.0010,2.58,2.58
New Caledonia,Netherlands,0.0007,0.0007,1.93,1.93
New Caledonia,Norway,0.0005,0.0005,1.27,1.27
New Caledonia,Ireland,0.0004,0.0004,1.12,1.12
New Caledonia,Dominican Republic,0.0004,0.0004,1.09,1.09
New Caledonia,Chile,0.0003,0.0003,0.68,0.68
New Caledonia,Ecuador,0.0002,0.0002,0.41,0.41
New Caledonia,Turkey,0.0001,0.0001,0.27,0.27
New Caledonia,Panama,0.0001,0.0001,0.27,0.27
New Caledonia,Uruguay,0.0001,0.0001,0.14,0.14
New Caledonia,Slovak Republic,0.0001,0.0001,0.14,0.14
New Caledonia,Russian Federation,0.0001,0.0001,0.14,0.14
New Caledonia,Portugal,0.0001,0.0001,0.14,0.14
El Salvador,WORLD,0.2036,0.1976,5050.51,4900.86
El Salvador,United States,0.1859,0.1854,4611.24,4600.07
El Salvador,Canada,0.0063,0.0063,156.55,156.31
El Salvador,Guatemala,0.0018,-0.0003,43.75,-7.89
El Salvador,Australia,0.0015,0.0015,37.18,37.07
El Salvador,Italy,0.0013,0.0013,32.84,31.97
El Salvador,Spain,0.0011,0.0009,26.93,22.43
El Salvador,Belize,0.0011,0.0011,26.84,26.49
El Salvador,Costa Rica,0.0010,0.0009,25.52,22.25
El Salvador,Mexico,0.0010,0.0009,24.85,21.46
El Salvador,Honduras,0.0006,-0.0014,15.19,-33.61
El Salvador,Sweden,0.0004,0.0004,9.16,8.88
El Salvador,Panama,0.0003,0.0002,7.59,6.09
El Salvador,Nicaragua,0.0002,-0.0003,6.00,-7.07
El Salvador,France,0.0001,0.0000,3.66,0.95
El Salvador,Switzerland,0.0001,0.0001,2.52,2.29
El Salvador,"Venezuela, RB",0.0001,0.0001,2.20,2.11
El Salvador,Germany,0.0001,0.0000,1.94,1.03
El Salvador,Ecuador,0.0001,0.0001,1.91,1.66
El Salvador,Libya,0.0001,0.0001,1.83,1.83
El Salvador,Puerto Rico,0.0001,0.0001,1.64,1.64
El Salvador,Dominican Republic,0.0001,0.0000,1.31,1.04
El Salvador,Argentina,0.0001,0.0000,1.29,1.15
El Salvador,Netherlands,0.0000,0.0000,1.19,1.15
El Salvador,Colombia,0.0000,0.0000,0.96,-0.18
El Salvador,Chile,0.0000,0.0000,0.81,0.77
El Salvador,"Egypt, Arab Rep.",0.0000,0.0000,0.73,0.72
El Salvador,Norway,0.0000,0.0000,0.65,0.63
El Salvador,Brazil,0.0000,0.0000,0.60,0.28
El Salvador,Jamaica,0.0000,0.0000,0.48,0.46
El Salvador,Algeria,0.0000,0.0000,0.41,0.41
El Salvador,Peru,0.0000,0.0000,0.32,-0.10
El Salvador,Denmark,0.0000,0.0000,0.27,0.24
El Salvador,Bolivia,0.0000,0.0000,0.26,0.19
El Salvador,Portugal,0.0000,0.0000,0.26,0.23
El Salvador,Austria,0.0000,0.0000,0.22,0.16
El Salvador,Finland,0.0000,0.0000,0.19,0.19
El Salvador,Ireland,0.0000,0.0000,0.18,0.17
El Salvador,"Bahamas, The",0.0000,0.0000,0.17,0.17
El Salvador,Greece,0.0000,0.0000,0.15,0.15
El Salvador,Uruguay,0.0000,0.0000,0.15,0.13
El Salvador,Paraguay,0.0000,0.0000,0.11,0.11
El Salvador,Czech Republic,0.0000,0.0000,0.09,0.08
El Salvador,Cuba,0.0000,0.0000,0.08,0.08
El Salvador,Iceland,0.0000,0.0000,0.04,0.03
El Salvador,Hungary,0.0000,0.0000,0.04,0.03
El Salvador,Cyprus,0.0000,0.0000,0.04,0.04
El Salvador,Bermuda,0.0000,0.0000,0.03,0.03
El Salvador,Kenya,0.0000,0.0000,0.03,0.03
El Salvador,Turkey,0.0000,0.0000,0.02,0.02
El Salvador,Russian Federation,0.0000,0.0000,0.02,0.01
El Salvador,Bulgaria,0.0000,0.0000,0.02,0.01
El Salvador,Ukraine,0.0000,0.0000,0.01,0.01
El Salvador,Aruba,0.0000,0.0000,0.01,0.01
El Salvador,Slovak Republic,0.0000,0.0000,0.01,0.01
El Salvador,Estonia,0.0000,0.0000,0.01,0.01
El Salvador,Romania,0.0000,0.0000,0.01,0.00
El Salvador,Jordan,0.0000,0.0000,0.00,-0.03
El Salvador,Poland,0.0000,0.0000,0.00,-0.01
El Salvador,Philippines,0.0000,0.0000,0.00,-0.08
Moldova,WORLD,0.2018,0.1592,1640.00,1293.77
Moldova,Russian Federation,0.0656,0.0459,532.97,372.94
Moldova,Italy,0.0394,0.0394,320.28,320.28
Moldova,Ukraine,0.0306,0.0230,248.70,187.15
Moldova,United States,0.0125,0.0124,101.42,100.51
Moldova,Romania,0.0115,0.0113,93.44,91.93
Moldova,Germany,0.0072,0.0058,58.72,47.14
Moldova,Portugal,0.0050,0.0050,40.59,40.59
Moldova,Spain,0.0042,0.0042,34.50,34.50
Moldova,Uzbekistan,0.0035,0.0035,28.81,28.81
Moldova,Israel,0.0029,0.0029,23.36,23.36
Moldova,Czech Republic,0.0024,0.0024,19.12,19.12
Moldova,Kazakhstan,0.0019,0.0017,15.84,14.17
Moldova,Canada,0.0017,0.0017,13.73,13.73
Moldova,Belarus,0.0017,-0.0013,13.58,-10.80
Moldova,France,0.0016,0.0016,12.74,12.74
Moldova,Greece,0.0015,0.0015,12.21,12.21
Moldova,Turkey,0.0012,0.0011,9.47,9.13
Moldova,Ireland,0.0009,0.0009,7.67,7.67
Moldova,Azerbaijan,0.0009,0.0003,7.31,2.52
Moldova,Turkmenistan,0.0006,0.0006,5.11,5.11
Moldova,Kyrgyz Republic,0.0005,-0.0003,4.38,-2.11
Moldova,Georgia,0.0005,-0.0007,4.01,-5.77
Moldova,Latvia,0.0005,-0.0013,3.97,-10.73
Moldova,Austria,0.0005,0.0005,3.96,3.96
Moldova,Bulgaria,0.0004,0.0004,3.60,3.42
Moldova,Switzerland,0.0004,0.0004,2.90,2.90
Moldova,Cyprus,0.0003,0.0003,2.23,2.23
Moldova,Lithuania,0.0003,-0.0013,2.07,-10.63
Moldova,Australia,0.0002,0.0002,1.88,1.88
Moldova,Estonia,0.0002,-0.0002,1.58,-1.85
Moldova,Norway,0.0002,0.0002,1.56,1.56
Moldova,Sweden,0.0002,0.0002,1.50,1.50
Moldova,Poland,0.0001,-0.0016,1.15,-12.68
Moldova,Tajikistan,0.0001,-0.0008,1.14,-6.31
Moldova,Slovenia,0.0001,0.0001,1.14,1.14
Moldova,Denmark,0.0001,0.0001,0.95,0.95
Moldova,Serbia,0.0001,0.0001,0.48,0.48
Moldova,Hungary,0.0001,-0.0001,0.46,-0.78
Moldova,Finland,0.0000,-0.0001,0.25,-1.01
Moldova,China,0.0000,-0.0002,0.24,-1.81
Moldova,Netherlands,0.0000,0.0000,0.21,0.21
Moldova,Slovak Republic,0.0000,0.0000,0.15,0.15
Moldova,"Egypt, Arab Rep.",0.0000,0.0000,0.15,0.15
Moldova,Malta,0.0000,0.0000,0.10,0.10
Moldova,Jordan,0.0000,0.0000,0.05,0.05
Moldova,San Marino,0.0000,0.0000,0.04,0.04
Moldova,Luxembourg,0.0000,0.0000,0.04,0.04
Moldova,Argentina,0.0000,0.0000,0.03,0.03
Moldova,Iceland,0.0000,0.0000,0.03,0.03
Moldova,Ecuador,0.0000,0.0000,0.02,0.02
Moldova,Chile,0.0000,0.0000,0.02,0.02
Moldova,Kenya,0.0000,0.0000,0.02,0.02
Moldova,Mexico,0.0000,0.0000,0.02,0.02
Moldova,Dominican Republic,0.0000,0.0000,0.01,0.01
Moldova,Bosnia and Herzegovina,0.0000,0.0000,0.01,0.01
Moldova,Peru,0.0000,0.0000,0.01,0.01
Moldova,Nicaragua,0.0000,0.0000,0.01,0.01
Moldova,Bolivia,0.0000,0.0000,0.01,0.01
Moldova,Costa Rica,0.0000,0.0000,0.01,0.01
Moldova,Panama,0.0000,0.0000,0.01,0.01
Moldova,Uruguay,0.0000,0.0000,0.01,0.01
Moldova,Colombia,0.0000,0.0000,0.01,0.01
Moldova,Afghanistan,0.0000,0.0000,0.00,-0.01
Honduras,WORLD,0.1881,0.1849,4322.40,4249.06
Honduras,United States,0.1640,0.1636,3768.88,3758.66
